Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Runtime Reads,Stack Snapshot,Runtime BPs,SW BPs,Trace,Analyzer
PIC16C63A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C642,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C64A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C65A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C65B,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C66,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C662,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C67,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C71,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C710,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C711,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C712,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C715,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C716,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C717,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C72,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C72A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C73A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C73B,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C745,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C74A,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C74B,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C76,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C765,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C77,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
PIC16C770,1000 Total,R/W/Either,1000,1000/1000,N/A,No,Yes,No,Yes,Yes,Yes,Yes,N/A,N/A,No,N/A,Yes,Yes
