Device,ADC,Bootswap,CCP,CLC,COG,Comp,CVREF,CoreTimer,CRC,CWG,DeepSleep,DMA,DSM,EEFlash,FVR,GPIO,HLT,IC,INT,IOC,OC,Osc,Ports,PPS,PWM,PullUp,RTSP,SMT,Timer,UART,VREF,WDT
PIC24HJ128GP306,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ128GP306A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ128GP310,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ128GP310A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ128GP502,ADC1,,,,,COMP,,,CRC,,,DMA,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4,OSC,PORTA;PORTB,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1;UART2,VREF,WDT
PIC24HJ128GP504,ADC1,,,,,COMP,,,CRC,,,DMA,,,,,,IC1;IC2;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5,UART1;UART2,VREF,WDT
PIC24HJ128GP506,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ128GP506A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTB;PORTC;PORTD;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ128GP510,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
PIC24HJ128GP510A,ADC1,,,,,,,,,,,DMA,,,,,,IC1;IC2;IC3;IC4;IC5;IC6;IC7;IC8,INT,IOC,OC1;OC2;OC3;OC4;OC5;OC6;OC7;OC8,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,,,PullUp,RTSP,,TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR7;TMR8;TMR9,UART1;UART2,,WDT
