Device,ADC,Bootswap,CCP,CLC,COG,Comp,CVREF,CoreTimer,CRC,CWG,DeepSleep,DMA,DSM,EEFlash,FVR,GPIO,HLT,IC,INT,IOC,OC,Osc,Ports,PPS,PWM,PullUp,RTSP,SMT,Timer,UART,VREF,WDT
PIC18F25K42;PIC18LF25K42,,,CCP1;CCP2;CCP3;CCP4,,,COMP1;COMP2,,,,CWG1;CWG2;CWG3,,,,,FVR,,,,INT0;INT1;INT2,IOC,,,PORTA;PORTB;PORTC;PORTE,PPS,PWM5;PWM6;PWM7;PWM8,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,,,WDT
PIC18F25K50;PIC18LF25K50,ADC,,CCP1;CCP2,,,COMP1;COMP2,,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F25K80;PIC18LF25K80,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F2610;PIC18LF2610,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F2620;PIC18LF2620,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F2680;PIC18LF2680,ADC,,CCP1,,,,,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F2682;PIC18LF2682,ADC,,CCP1,,,,,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F2685;PIC18LF2685,ADC,,CCP1,,,,,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F26J11;PIC18LF26J11,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F26J13;PIC18LF26J13,ADC,,CCP1;CCP10;CCP2;CCP3;CCP4;CCP5;CCP6;CCP7;CCP8;CCP9,,,COMP1;COMP2;COMP3,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR8,UART1;UART2,,WDT
PIC18F26J50;PIC18LF26J50,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F26J53;PIC18LF26J53,ADC,,CCP1;CCP10;CCP2;CCP3;CCP4;CCP5;CCP6;CCP7;CCP8;CCP9,,,COMP1;COMP2;COMP3,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR8,UART1;UART2,,WDT
PIC18F26K20,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F26K22;PIC18LF26K22,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F26K40;PIC18LF26K40,ADC,,CCP1;CCP2,,,COMP1;COMP2,,,,CWG1,,,DSM,,FVR,,,,INT0;INT1;INT2,IOC,,,PORTA;PORTB;PORTC;PORTE,PPS,PWM3;PWM4,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F26K80;PIC18LF26K80,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F27J13;PIC18LF27J13,ADC,,CCP1;CCP10;CCP2;CCP3;CCP4;CCP5;CCP6;CCP7;CCP8;CCP9,,,COMP1;COMP2;COMP3,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR8,UART1;UART2,,WDT
PIC18F27J53;PIC18LF27J53,ADC,,CCP1;CCP10;CCP2;CCP3;CCP4;CCP5;CCP6;CCP7;CCP8;CCP9,,,COMP1;COMP2;COMP3,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR8,UART1;UART2,,WDT
PIC18F27K40;PIC18LF27K40,ADC,,CCP1;CCP2,,,COMP1;COMP2,,,,CWG1,,,DSM,,FVR,,,,INT0;INT1;INT2,IOC,,,PORTA;PORTB;PORTC;PORTE,PPS,PWM3;PWM4,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F4220;PIC18LF4220,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4221;PIC18LF4221,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4320;PIC18LF4320,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4321;PIC18LF4321,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4331;PIC18LF4331,ADC,,CCP1;CCP2,,,,,,,,,,,EEFlash,,,,IC1;IC2;IC3,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,PWM,PullUp,,,TMR0;TMR1;TMR2;TMR5,UART1,,WDT
PIC18F43K20,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F43K22;PIC18LF43K22,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F4410;PIC18LF4410,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F442;PIC18LF442,ADC,,CCP1;CCP2,,,,,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4420;PIC18LF4420,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4423;PIC18LF4423,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4431;PIC18LF4431,ADC,,CCP1;CCP2,,,,,,,,,,,EEFlash,,,,IC1;IC2;IC3,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,PWM,PullUp,,,TMR0;TMR1;TMR2;TMR5,UART1,,WDT
PIC18F4450;PIC18LF4450,ADC,,CCP1,,,,,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2,UART1,,WDT
PIC18F4455;PIC18LF4455,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4458;PIC18LF4458,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F448;PIC18LF448,ADC,,CCP1;ECCP1,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4480;PIC18LF4480,ADC,,CCP1;ECCP1,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F44J10;PIC18LF44J10,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2,UART1,,WDT
PIC18F44J11;PIC18LF44J11,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F44J50;PIC18LF44J50,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F44K20,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F44K22;PIC18LF44K22,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F4510;PIC18LF4510,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4515;PIC18LF4515,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F452;PIC18LF452,ADC,,CCP1;CCP2,,,,,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4520;PIC18LF4520,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4523;PIC18LF4523,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4525;PIC18LF4525,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4550;PIC18LF4550,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4553;PIC18LF4553,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F458;PIC18LF458,ADC,,CCP1;ECCP1,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4580;PIC18LF4580,ADC,,CCP1;ECCP1,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4585;PIC18LF4585,ADC,,CCP1;ECCP1,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F45J10;PIC18LF45J10,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2,UART1,,WDT
PIC18F45J11;PIC18LF45J11,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F45J50;PIC18LF45J50,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F45K20,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F45K22;PIC18LF45K22,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F45K40;PIC18LF45K40,ADC,,CCP1;CCP2,,,COMP1;COMP2,,,,CWG1,,,DSM,,FVR,,,,INT0;INT1;INT2,IOC,,,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,PWM3;PWM4,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F45K50;PIC18LF45K50,ADC,,CCP1;CCP2,,,COMP1;COMP2,,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F45K80;PIC18LF45K80,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F4610;PIC18LF4610,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4620;PIC18LF4620,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4680;PIC18LF4680,ADC,,CCP1;ECCP1,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4682;PIC18LF4682,ADC,,CCP1;ECCP1,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F4685;PIC18LF4685,ADC,,CCP1;ECCP1,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F46J11;PIC18LF46J11,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F46J13;PIC18LF46J13,ADC,,CCP1;CCP10;CCP2;CCP3;CCP4;CCP5;CCP6;CCP7;CCP8;CCP9,,,COMP1;COMP2;COMP3,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR8,UART1;UART2,,WDT
PIC18F46J50;PIC18LF46J50,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F46J53;PIC18LF46J53,ADC,,CCP1;CCP10;CCP2;CCP3;CCP4;CCP5;CCP6;CCP7;CCP8;CCP9,,,COMP1;COMP2;COMP3,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR8,UART1;UART2,,WDT
PIC18F46K20,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1,,WDT
PIC18F46K22;PIC18LF46K22,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,,,,,,,,EEFlash,FVR,,,,INT0;INT1;INT2,IOC,,OSC,PBADEN;PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F46K40;PIC18LF46K40,ADC,,CCP1;CCP2,,,COMP1;COMP2,,,,CWG1,,,DSM,,FVR,,,,INT0;INT1;INT2,IOC,,,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,PWM3;PWM4,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F46K80;PIC18LF46K80,ADC,,CCP1;CCP2;CCP3;CCP4;CCP5,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4,UART1;UART2,,WDT
PIC18F47J13;PIC18LF47J13,ADC,,CCP1;CCP10;CCP2;CCP3;CCP4;CCP5;CCP6;CCP7;CCP8;CCP9,,,COMP1;COMP2;COMP3,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR8,UART1;UART2,,WDT
PIC18F47J53;PIC18LF47J53,ADC,,CCP1;CCP10;CCP2;CCP3;CCP4;CCP5;CCP6;CCP7;CCP8;CCP9,,,COMP1;COMP2;COMP3,CVREF,,,,DeepSleep;DSWDT,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6;TMR8,UART1;UART2,,WDT
PIC18F47K40;PIC18LF47K40,ADC,,CCP1;CCP2,,,COMP1;COMP2,,,,CWG1,,,DSM,,FVR,,,,INT0;INT1;INT2,IOC,,,PORTA;PORTB;PORTC;PORTD;PORTE,PPS,PWM3;PWM4,PullUp,,,TMR0;TMR1;TMR2;TMR3;TMR4;TMR5;TMR6,UART1;UART2,,WDT
PIC18F6310;PIC18LF6310,ADC,,CCP1;CCP2;CCP3,,,COMP1;COMP2,CVREF,,,,,,,,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1;UART2,,WDT
PIC18F6390;PIC18LF6390,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1;UART2,,WDT
PIC18F6393;PIC18LF6393,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1;UART2,,WDT
PIC18F63J11,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1;UART2,,WDT
PIC18F63J90,ADC,,CCP1;CCP2,,,COMP1;COMP2,CVREF,,,,,,,EEFlash,,,,,INT0;INT1;INT2;INT3,IOC,,OSC,PORTA;PORTB;PORTC;PORTD;PORTE;PORTF;PORTG,PPS,,PullUp,,,TMR0;TMR1;TMR2;TMR3,UART1;UART2,,WDT
