,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Debug Reads,Stack Snapshot,PKOB Support,Runtime BPs,SW BPs,App IO,Data Capture,Realtime Watch,Native Trace,Port Trace,SPI Trace,Inst Trace,Jump Trace,PC Sampling,FLP,
PIC24F04KL101,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KA101,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KA101 using AC244028,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KA102,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KA102 using AC244028,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KL200,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KL201,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KL301,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KL302,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KL401,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KL402,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KM101,3 Total,R/W,3,'3/6,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KM102,3 Total,R/W,3,'3/6,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KM202,3 Total,R/W,3,'3/6,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F08KM204,3 Total,R/W,3,'3/6,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KA101,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KA101 using AC244028,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KA102,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KA102 using AC244028,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KA301,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KA302,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KA304,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KL401,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KL402,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KM102,3 Total,R/W,3,'3/6,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KM104,3 Total,R/W,3,'3/6,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KM202,3 Total,R/W,3,'3/6,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F16KM204,3 Total,R/W,3,'3/6,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F32KA301,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F32KA302,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24F32KA304,3 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ1024GA606,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ1024GA610,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ1024GB606,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ1024GB610,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128DA106,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128DA110,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128DA206,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128DA210,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA006,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA006 using AC162065,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA006 using AC244022,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA008,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA008 using AC162065,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA008 using AC244022,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA010,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA010 using AC162065,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA010 using AC244022,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA106,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA108,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA110,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA202,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA204,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA306,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA308,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA310,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA406,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA410,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA412,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA606,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA610,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA702,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA704,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GA705,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB106,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB108,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB110,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB202,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB204,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB206,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB210,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB406,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB410,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB412,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB606,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GB610,6 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GC006,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ128GC010,5 Total,R/W,3:RI-3:ICD3-0:PK3,3/5:RI-3/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ16GA002,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ16GA002 using AC162088,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ16GA004,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ16GA004 using AC162094,4 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,N/A,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
PIC24FJ16MC101,2 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
